relative_path,readable,integrity_error,truncated_warning,width,height,aspect_ratio,channels_or_mode,image_format,file_size_bytes,audit_status,review_reason
Non-Venomous/Checkered Keelback/45009f00bb38a1754edbdffde787a5b6--amphibians-reptiles.jpg,True,,False,236,353,0.668555,RGB,JPEG,14725,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/483d1b4810b93241b433267681151497--snakes-animals.jpg,True,,False,736,551,1.335753,RGB,JPEG,33478,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/4884945878_999a15707b_o.jpg,True,,False,800,535,1.495327,RGB,JPEG,297389,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/491121-checkered-keeeled-back.jpg,True,,False,3265,2449,1.333197,RGB,JPEG,2088008,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/5132438158_7853cbf717.jpg,True,,False,500,313,1.597444,RGB,JPEG,185093,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/5389390663_3fee7a07d3_o.jpg,True,,False,773,516,1.498062,RGB,JPEG,152142,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/6.jpg,True,,False,960,455,2.10989,RGB,JPEG,76757,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/6040463084_f23655f730.jpg,True,,False,500,333,1.501502,RGB,JPEG,89271,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/6069690177_f5cd0dbe69_o.jpg,True,,False,800,533,1.500938,RGB,JPEG,327972,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/6888018080_51ce929728.jpg,True,,False,500,333,1.501502,RGB,JPEG,192376,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
